tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,B2M,IRF3,-0.173,0.430087,NS,23,0.6899132729625919,0.785662626198083
Liver,Myeloid,B2M,IRF7,0.394,0.062655,†,23,0.240744324870052,0.3767637818181818
Liver,Myeloid,B2M,ISG15,0.403,0.056451,†,23,0.22524259260797344,0.3602837953667954
Liver,Myeloid,B2M,JAK1,0.197,0.368499,NS,23,0.6387471162140215,0.738469455726092
Liver,Myeloid,B2M,JCHAIN,-0.006,0.979013,NS,23,0.9922655666772086,0.9996883928571428
Liver,Myeloid,B2M,LAYN,0.223,0.306139,NS,23,0.5819549108450425,0.7023135433287483
Liver,Myeloid,B2M,LDHA,0.213,0.328142,NS,23,0.602152637501194,0.71653728665786
Liver,Myeloid,B2M,LGALS9,0.26,0.23109,NS,23,0.5032842070060084,0.6235817272727273
Liver,Myeloid,B2M,LILRB1,0.049,0.82456,NS,23,0.9240946565868438,0.9578339283204498
Liver,Myeloid,B2M,MEFV,-0.1,0.650493,NS,23,0.8362299935091007,0.8867443240360952
Liver,Myeloid,B2M,MT-CYB,0.095,0.6668,NS,23,0.8461390890207714,0.8889929518459069
Liver,Myeloid,B2M,MT-ND1,-0.253,0.244188,NS,23,0.5168681873071838,0.6358367001569859
Liver,Myeloid,B2M,MT-ND2,-0.061,0.781249,NS,23,0.9035214975031587,0.9324220916967508
Liver,Myeloid,B2M,MTOR,0.129,0.556868,NS,23,0.7760558338992848,0.8336595189530687
Liver,Myeloid,B2M,MX1,0.326,0.128787,NS,23,0.3646609951399116,0.5044666137440759
Liver,Myeloid,B2M,PRDM1,-0.083,0.705129,NS,23,0.864075957841699,0.91060799765625
Liver,Myeloid,B2M,PYCARD,-0.172,0.432768,NS,23,0.6916727161397671,0.785662626198083
Liver,Myeloid,B2M,RB1,0.07,0.752057,NS,23,0.8892834633171391,0.9241133060188542
Liver,Myeloid,B2M,RORC,0.289,0.180648,NS,23,0.4410814346720895,0.5787037674418605
Liver,Myeloid,B2M,RPTOR,0.096,0.662362,NS,23,0.8435588112633181,0.8872644943273905
Liver,Myeloid,B2M,SDHB,-0.203,0.353941,NS,23,0.6254936914091244,0.7341847142857143
Liver,Myeloid,B2M,SIGLEC10,0.243,0.26372,NS,23,0.5390278412934795,0.6584790225903614
Liver,Myeloid,B2M,SOCS1,0.168,0.444825,NS,23,0.7004740014754098,0.785662626198083
Liver,Myeloid,B2M,SOCS3,-0.005,0.982146,NS,23,0.993684624499684,0.9996883928571428
Liver,Myeloid,B2M,STAT1,0.319,0.137684,NS,23,0.37816319479777044,0.5114419146067416
Liver,Myeloid,B2M,STAT2,0.26,0.230053,NS,23,0.5021072691433766,0.6235817272727273
