tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,ATM,B,NL→AR,NL,AR,0.31534544,0.6217707,97.1999969482422,↑,0.166667,NS,15/18,6,3,0.8613764444444444
Liver,ATM,B,NL→CR,NL,CR,0.31534544,0.49663433,57.5,↑,0.166667,NS,15/18,6,3,0.8075404166666666
Liver,ATM,B,IT→IA,IT,IA,0.4536128,0.35338002,-22.100000381469727,↓,0.309524,NS,18/25,5,5,1.0
Liver,ATM,B,IA→AR,IA,AR,0.35338002,0.6217707,75.9000015258789,↑,0.035714,*,15/15,5,3,1.0
Liver,ATM,B,CR→AR,CR,AR,0.49663433,0.6217707,25.200000762939453,↑,0.1,NS,9/9,3,3,0.9548387096774195
Liver,ATM,PlasmaB,NL→IT,NL,IT,0.24068879,0.22008634,-8.600000381469727,↓,0.792208,NS,17/30,6,5,0.9770565333333333
Liver,ATM,PlasmaB,NL→IA,NL,IA,0.24068879,0.217238,-9.699999809265137,↓,0.536797,NS,19/30,6,5,0.9131719080459769
Liver,ATM,PlasmaB,NL→AR,NL,AR,0.24068879,0.07310816,-69.5999984741211,↓,0.047619,*,17/18,6,3,0.3334633043478261
Liver,ATM,PlasmaB,NL→CR,NL,CR,0.24068879,0.19384754,-19.5,↓,0.714286,NS,11/18,6,3,0.9879843738317756
Liver,ATM,PlasmaB,IT→IA,IT,IA,0.22008634,0.217238,-1.2999999523162842,↓,0.84127,NS,14/25,5,5,1.0
Liver,ATM,PlasmaB,IA→AR,IA,AR,0.217238,0.07310816,-66.30000305175781,↓,0.142857,NS,13/15,5,3,1.0
Liver,ATM,PlasmaB,CR→AR,CR,AR,0.19384754,0.07310816,-62.29999923706055,↓,0.2,NS,8/9,3,3,1.0
Liver,ATP5F1A,Myeloid,NL→IT,NL,IT,0.8555239,0.97566754,14.0,↑,0.132035,NS,28/36,6,6,0.5137393076923077
Liver,ATP5F1A,Myeloid,NL→IA,NL,IA,0.8555239,0.9385525,9.699999809265137,↑,0.177489,NS,23/30,6,5,0.7960112727272728
Liver,ATP5F1A,Myeloid,NL→AR,NL,AR,0.8555239,1.092388,27.700000762939453,↑,0.095238,†,16/18,6,3,0.9229033333333334
Liver,ATP5F1A,Myeloid,NL→CR,NL,CR,0.8555239,0.98812836,15.5,↑,0.166667,NS,15/18,6,3,0.7752388
Liver,ATP5F1A,Myeloid,IT→IA,IT,IA,0.97566754,0.9385525,-3.799999952316284,↓,0.536797,NS,19/30,6,5,0.942557923076923
Liver,ATP5F1A,Myeloid,IA→AR,IA,AR,0.9385525,1.092388,16.399999618530273,↑,0.142857,NS,13/15,5,3,1.0
Liver,ATP5F1A,Myeloid,CR→AR,CR,AR,0.98812836,1.092388,10.600000381469728,↑,0.7,NS,6/9,3,3,1.0
Liver,ATP5F1A,CD4_T,NL→IT,NL,IT,0.55501884,0.59387535,7.0,↑,0.484848,NS,23/36,6,6,0.8062640898876405
Liver,ATP5F1A,CD4_T,NL→IA,NL,IA,0.55501884,0.67819417,22.200000762939453,↑,0.177489,NS,23/30,6,5,0.5360892244897959
Liver,ATP5F1A,CD4_T,NL→AR,NL,AR,0.55501884,0.6558704,18.200000762939453,↑,0.261905,NS,14/18,6,3,0.7047625454545455
Liver,ATP5F1A,CD4_T,NL→CR,NL,CR,0.55501884,0.6606318,19.0,↑,0.261905,NS,14/18,6,3,0.6800340350877193
Liver,ATP5F1A,CD4_T,IT→IA,IT,IA,0.59387535,0.67819417,14.199999809265137,↑,0.536797,NS,19/30,6,5,1.0
Liver,ATP5F1A,CD4_T,IA→AR,IA,AR,0.67819417,0.6558704,-3.299999952316284,↓,0.785714,NS,9/15,5,3,1.0
Liver,ATP5F1A,CD4_T,CR→AR,CR,AR,0.6606318,0.6558704,-0.699999988079071,↓,1.0,NS,5/9,3,3,1.0
Liver,ATP5F1A,CD8_T,NL→IT,NL,IT,0.527631,0.5310901,0.699999988079071,↑,0.484848,NS,23/36,6,6,0.8442059294117646
Liver,ATP5F1A,CD8_T,NL→IA,NL,IA,0.527631,0.6429309,21.89999961853028,↑,0.246753,NS,22/30,6,5,0.6086574
Liver,ATP5F1A,CD8_T,NL→AR,NL,AR,0.527631,0.66827923,26.700000762939453,↑,0.166667,NS,15/18,6,3,0.5138899166666666
Liver,ATP5F1A,CD8_T,NL→CR,NL,CR,0.527631,0.578731,9.699999809265137,↑,0.547619,NS,12/18,6,3,0.9315817471264367
Liver,ATP5F1A,CD8_T,IT→IA,IT,IA,0.5310901,0.6429309,21.100000381469727,↑,0.662338,NS,18/30,6,5,0.9705546930693069
Liver,ATP5F1A,CD8_T,IA→AR,IA,AR,0.6429309,0.66827923,3.900000095367432,↑,1.0,NS,8/15,5,3,1.0
Liver,ATP5F1A,CD8_T,CR→AR,CR,AR,0.578731,0.66827923,15.5,↑,0.7,NS,6/9,3,3,1.0
Liver,ATP5F1A,NK,NL→IT,NL,IT,0.6393865,0.5863457,-8.300000190734863,↓,0.818182,NS,20/36,6,6,1.0
Liver,ATP5F1A,NK,NL→IA,NL,IA,0.6393865,0.59601027,-6.800000190734863,↓,0.428571,NS,20/30,6,5,0.9517089708737864
