tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,TGFB1,Myeloid,CR→AR,CR,AR,1.1744682,1.2568628,7.0,↑,1.0,NS,4/9,3,3
Blood,TGFB1,CD4_T,NL→IT,NL,IT,0.7491196,0.83515465,11.5,↑,0.547619,NS,16/25,5,5
Blood,TGFB1,CD4_T,NL→IA,NL,IA,0.7491196,1.376169,83.69999694824219,↑,0.111111,NS,17/20,5,4
Blood,TGFB1,CD4_T,NL→AR,NL,AR,0.7491196,0.7580821,1.2000000476837158,↑,0.785714,NS,6/15,5,3
Blood,TGFB1,CD4_T,NL→CR,NL,CR,0.7491196,0.54851604,-26.799999237060547,↓,0.392857,NS,11/15,5,3
Blood,TGFB1,CD4_T,IT→IA,IT,IA,0.83515465,1.376169,64.80000305175781,↑,0.111111,NS,17/20,5,4
Blood,TGFB1,CD4_T,IA→AR,IA,AR,1.376169,0.7580821,-44.900001525878906,↓,0.4,NS,9/12,4,3
Blood,TGFB1,CD4_T,CR→AR,CR,AR,0.54851604,0.7580821,38.20000076293945,↑,1.0,NS,5/9,3,3
Blood,TGFB1,CD8_T,NL→IT,NL,IT,0.9306207,0.92559016,-0.5,↓,0.84127,NS,11/25,5,5
Blood,TGFB1,CD8_T,NL→IA,NL,IA,0.9306207,1.4856327,59.59999847412109,↑,0.063492,†,18/20,5,4
Blood,TGFB1,CD8_T,NL→AR,NL,AR,0.9306207,0.9850542,5.800000190734863,↑,1.0,NS,8/15,5,3
Blood,TGFB1,CD8_T,NL→CR,NL,CR,0.9306207,0.636082,-31.600000381469727,↓,0.25,NS,12/15,5,3
Blood,TGFB1,CD8_T,IT→IA,IT,IA,0.92559016,1.4856327,60.5,↑,0.190476,NS,16/20,5,4
Blood,TGFB1,CD8_T,IA→AR,IA,AR,1.4856327,0.9850542,-33.70000076293945,↓,0.4,NS,9/12,4,3
Blood,TGFB1,CD8_T,CR→AR,CR,AR,0.636082,0.9850542,54.900001525878906,↑,0.7,NS,6/9,3,3
Blood,TGFB1,NK,NL→IT,NL,IT,1.2021534,1.4758699,22.799999237060547,↑,0.309524,NS,18/25,5,5
Blood,TGFB1,NK,NL→IA,NL,IA,1.2021534,2.1233225,76.5999984741211,↑,0.015873,*,20/20,5,4
Blood,TGFB1,NK,NL→AR,NL,AR,1.2021534,1.3785411,14.699999809265137,↑,0.785714,NS,9/15,5,3
Blood,TGFB1,NK,NL→CR,NL,CR,1.2021534,1.0178767,-15.300000190734863,↓,0.571429,NS,10/15,5,3
Blood,TGFB1,NK,IT→IA,IT,IA,1.4758699,2.1233225,43.900001525878906,↑,0.015873,*,20/20,5,4
Blood,TGFB1,NK,IA→AR,IA,AR,2.1233225,1.3785411,-35.099998474121094,↓,0.4,NS,9/12,4,3
Blood,TGFB1,NK,CR→AR,CR,AR,1.0178767,1.3785411,35.400001525878906,↑,0.7,NS,6/9,3,3
Blood,TGFB1,B,NL→IT,NL,IT,0.47816396,0.5650591,18.200000762939453,↑,0.420635,NS,17/25,5,5
Blood,TGFB1,B,NL→IA,NL,IA,0.47816396,0.964226,101.6999969482422,↑,0.063492,†,18/20,5,4
Blood,TGFB1,B,NL→AR,NL,AR,0.47816396,0.58749795,22.899999618530277,↑,0.785714,NS,9/15,5,3
Blood,TGFB1,B,NL→CR,NL,CR,0.47816396,0.34353057,-28.200000762939453,↓,0.785714,NS,9/15,5,3
Blood,TGFB1,B,IT→IA,IT,IA,0.5650591,0.964226,70.5999984741211,↑,0.111111,NS,17/20,5,4
Blood,TGFB1,B,IA→AR,IA,AR,0.964226,0.58749795,-39.09999847412109,↓,0.4,NS,9/12,4,3
Blood,TGFB1,B,CR→AR,CR,AR,0.34353057,0.58749795,71.0,↑,0.4,NS,7/9,3,3
Blood,TGFB1,PlasmaB,NL→IT,NL,IT,0.23622477,0.7034153,197.8000030517578,↑,0.015873,*,24/25,5,5
Blood,TGFB1,PlasmaB,NL→IA,NL,IA,0.23622477,0.7455009,215.6000061035156,↑,0.015873,*,20/20,5,4
Blood,TGFB1,PlasmaB,NL→AR,NL,AR,0.23622477,0.46247983,95.8000030517578,↑,0.142857,NS,13/15,5,3
Blood,TGFB1,PlasmaB,NL→CR,NL,CR,0.23622477,0.42073688,78.0999984741211,↑,0.25,NS,12/15,5,3
Blood,TGFB1,PlasmaB,IT→IA,IT,IA,0.7034153,0.7455009,6.0,↑,1.0,NS,10/20,5,4
Blood,TGFB1,PlasmaB,IA→AR,IA,AR,0.7455009,0.46247983,-38.0,↓,0.4,NS,9/12,4,3
Blood,TGFB1,PlasmaB,CR→AR,CR,AR,0.42073688,0.46247983,9.899999618530272,↑,0.7,NS,3/9,3,3
Blood,TGFB2,Myeloid,NL→IT,NL,IT,0.0,6.213052e-05,99999.0,↑,0.423711,NS,5/25,5,5
Blood,TGFB2,Myeloid,NL→IA,NL,IA,0.0,0.003279863,99999.0,↑,0.04162,*,15/20,5,4
Blood,TGFB2,Myeloid,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3
Blood,TGFB2,Myeloid,NL→CR,NL,CR,0.0,0.00061908015,99999.0,↑,0.078983,†,10/15,5,3
Blood,TGFB2,Myeloid,IT→IA,IT,IA,6.213052e-05,0.003279863,5179.0,↑,0.081136,†,15/20,5,4
Blood,TGFB2,Myeloid,IA→AR,IA,AR,0.003279863,0.0,-100.0,↓,0.11867,NS,9/12,4,3
Blood,TGFB2,Myeloid,CR→AR,CR,AR,0.00061908015,0.0,-100.0,↓,0.196706,NS,6/9,3,3
Blood,TGFB2,CD4_T,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5
Blood,TGFB2,CD4_T,NL→IA,NL,IA,0.0,0.0,0.0,↑,1.0,NS,0/20,5,4
Blood,TGFB2,CD4_T,NL→AR,NL,AR,0.0,0.00017991493,99999.0,↑,0.3017,NS,5/15,5,3
Blood,TGFB2,CD4_T,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3
Blood,TGFB2,CD4_T,IT→IA,IT,IA,0.0,0.0,0.0,↑,1.0,NS,0/20,5,4
Blood,TGFB2,CD4_T,IA→AR,IA,AR,0.0,0.00017991493,99999.0,↑,0.386476,NS,4/12,4,3
Blood,TGFB2,CD4_T,CR→AR,CR,AR,0.0,0.00017991493,99999.0,↑,0.504985,NS,3/9,3,3
Blood,TGFB2,CD8_T,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5
